,trnL_id,trnl_common_name,scientific_name
555,106566,Toringo crab-apple,Malus sieboldii
556,74656,xian he cao,Agrimonia pilosa
557,136222,temu lawak,Curcuma xanthorrhiza
558,2777731,buttontree,Terminalia phillyreifolia
559,51350,turnip,Brassica rapa
560,63058,Chinese elm,Ulmus parvifolia
561,35926,mountain papaya,Vasconcellea cundinamarcensis
562,153659,moneyplant,Lunaria annua
563,190884,teraspic,Iberis amara
564,302120,false blue flax,Heliophila longifolia
565,98002,spectacle-pod,Dimorphocarpa wislizeni
566,95413,fewseed draba,Draba oligosperma
567,202635,garlic-pear,Crateva tapia
568,228876,hare's-ear mustard,Conringia orientalis
569,220483,European searocket,Cakile maritima
570,50463,hairy bittercress,Cardamine hirsuta
571,82356,coralroot bittercress,Cardamine bulbifera
572,115924,silver rockcress,Boechera puberula
573,359822,smooth rockcress,Boechera laevigata
574,126270,garlic mustard,Alliaria petiolata
575,169068,hoary alyssum,Alyssum alyssoides
576,171213,Nikko maple,Acer nikoense
577,13230,ironwood,Prosopis juliflora
578,106568,cutleaf crab apple,Malus toringoides
579,83951,midnight horror,Oroxylum indicum
580,483143,Indian redwood,Biancaea sappan
581,298670,sugar sumac,Rhus ovata
582,298668,lemonade sumac,Rhus integrifolia
583,107308,Indian rosewood,Dalbergia sissoo
584,49657,China-root,Smilax china
585,79001,sasa-yuri,Lilium japonicum
586,499988,fragrant rosewood,Dalbergia odorifera
587,311405,shampoo ginger,Zingiber zerumbet
588,211926,African tuliptree,Spathodea campanulata
589,300208,Chinese white-olive,Canarium album
590,78384,golden-club,Orontium aquaticum
591,155299,sambal,Litsea cubeba
592,35974,white sandalwood,Santalum album
593,3133,dead man's fingers,Codium fragile
594,4477,water lettuce,Pistia stratiotes
595,126554,devilwood,Osmanthus americanus
596,125259,cao dou kou,Alpinia hainanensis
597,37231,moonwort,Botrychium lunaria
598,50207,common sow-thistle,Sonchus oleraceus
599,3816,Indian licorice,Abrus precatorius
600,88123,Japanese plum,Prunus salicina
601,265497,Chinese catalpa,Catalpa ovata
602,162715,turpentine tree,Colophospermum mopane
603,162772,sasswood,Erythrophleum suaveolens
604,72433,flametree,Delonix regia
605,74613,Chinese licorice,Glycyrrhiza uralensis
606,162812,gayac,Intsia bijuga
607,162646,pride-of-Burma,Amherstia nobilis
608,74635,dog briar,Rosa canina
609,244509,oakleaf goosefoot,Oxybasis glauca
610,296036,emblic,Phyllanthus emblica
611,293060,carry-me seed,Phyllanthus amarus
612,685943,blackbutt peppermint,Eucalyptus smithii
613,63476,Indian sarsaparilla,Hemidesmus indicus
614,155022,harra,Terminalia chebula
615,272863,asparagus fern,Asparagus setaceus
616,16752,dokudami,Houttuynia cordata
617,59680,Japanese snowbell,Styrax japonicus
618,57577,rotklee,Trifolium pratense
619,56060,palas,Butea monosperma
620,49825,dyer's greenweed,Genista tinctoria
621,346951,moneybush,Senna bicapsularis
622,162890,tipilla,Pterogyne nitens
623,46664,Brazilian firetree,Schizolobium parahyba
624,28958,xiao dao dou,Canavalia cathartica
625,48131,false indigo,Amorpha fruticosa
626,43522,Indian mulberry,Morinda citrifolia
627,53205,tara-yo,Ilex latifolia
628,4060,serpentwood,Rauvolfia serpentina
629,110284,Chinese water-chestnut,Eleocharis dulcis
630,105885,coralberry,Symphoricarpos orbiculatus
